district	state	districtno	incumbent	party	gopcode	support	oppose	strongsupport	strongoppose	clinton	trump	id
FL-19	FL	19	Rep. Rooney	R	1	40	42	13	31	37.5	59.6	1219
FL-04	FL	04	Rep. Rutherford	R	1	41	40	14	29	34.1	62.1	1204
FL-17	FL	17	Rep. Rooney	R	1	41	41	14	29	35	62.2	1217
FL-02	FL	02	Rep. Dunn	R	1	43	38	14	26	30.6	66.2	1202
FL-11	FL	11	Rep. Nugent	R	1	43	39	14	27	32.5	64.8	1211
FL-01	FL	01	Rep. Gaetz	R	1	44	37	15	25	28.2	67.5	1201
GA-07	GA	07	Rep. Woodall	R	1	35	48	11	36	44.8	51.1	1307
GA-01	GA	01	Rep. Carter	R	1	38	45	12	33	40.9	56.4	1301
GA-12	GA	12	Rep. Allen	R	1	38	44	13	33	40.7	56.9	1312
GA-11	GA	11	Rep. Loudermilk	R	1	40	41	13	30	35.3	60.3	1311
GA-10	GA	10	Rep. Hice	R	1	41	41	13	29	35.8	61.3	1310
GA-03	GA	03	Rep. Ferguson	R	1	42	39	14	28	32.8	64.3	1303
GA-08	GA	08	Rep. Scott	R	1	42	40	14	28	34.4	63.3	1308
GA-14	GA	14	Rep. Graves	R	1	48	32	16	20	22.1	75	1314
GA-09	GA	09	Rep. Collins	R	1	50	30	17	19	19.3	77.8	1309
IA-01	IA	01	Rep. Blum	R	1	34	49	11	37	45.2	48.7	1901
IA-03	IA	03	Rep. Young	R	1	34	49	11	37	45	48.5	1903
IA-04	IA	04	Rep. King	R	1	41	41	14	29	33.5	60.9	1904
ID-02	ID	02	Rep. Simpson	R	1	39	41	13	29	29.8	54.5	1602
ID-01	ID	01	Rep. Labrador	R	1	43	37	14	25	25.4	63.7	1601
IL-06	IL	06	Rep. Roskam	R	1	32	52	10	40	50.2	43.2	1706
IL-13	IL	13	Rep. Davis	R	1	35	48	11	36	44.2	49.7	1713
IL-14	IL	14	Rep. Hultgren	R	1	35	49	11	37	44.8	48.7	1714
IL-12	IL	12	Rep. Bost	R	1	38	45	12	33	40.2	55	1712
IL-16	IL	16	Rep. Kinzinger	R	1	38	44	12	32	38.3	55.5	1716
IL-18	IL	18	Rep. LaHood	R	1	41	41	13	29	33.3	60.6	1718
IL-15	IL	15	Rep. Shimkus	R	1	46	34	15	23	24.5	70.7	1715
IN-05	IN	05	Rep. Brooks	R	1	37	46	12	34	41.3	53.1	1805
IN-02	IN	02	Rep. Walorski	R	1	40	42	13	30	36.1	59.3	1802
IN-09	IN	09	Rep. Hollingsworth	R	1	41	41	14	29	34.2	61.1	1809
IN-03	IN	03	Rep. Banks	R	1	43	38	14	26	30.1	65.1	1803
IN-04	IN	04	Rep. Rokita	R	1	43	38	14	27	30.2	64.3	1804
IN-08	IN	08	Rep. Bucshon	R	1	43	38	14	27	30.9	64.6	1808
IN-06	IN	06	Rep. Messer	R	1	44	36	15	25	27.4	67.7	1806
KS-03	KS	03	Rep. Yoder	R	1	33	50	11	38	47.2	46	2003
KS-02	KS	02	Rep. Jenkins	R	1	38	44	13	32	37.4	55.8	2002
KS-01	KS	01	Rep. Marshall	R	1	46	35	15	23	24.3	69.3	2001
KY-06	KY	06	Rep. Barr	R	1	38	45	12	33	39.4	54.7	2106
KY-04	KY	04	Rep. Massie	R	1	43	38	14	26	29.3	65.2	2104
KY-02	KY	02	Rep. Guthrie	R	1	44	36	15	25	27.6	67.5	2102
KY-01	KY	01	Rep. Comer	R	1	47	33	16	22	23.9	72.4	2101
KY-05	KY	05	Rep. Rogers	R	1	51	29	17	17	17.5	79.6	2105
LA-04	LA	04	Rep. Johnson	R	1	40	42	13	30	36.6	60.6	2204
LA-05	LA	05	Rep. Abraham	R	1	42	40	14	28	34.1	63.5	2205
LA-06	LA	06	Rep. Graves	R	1	43	38	14	27	31	64.8	2206
LA-03	LA	03	Rep. Higgins	R	1	44	37	15	25	29.2	67.3	2203
LA-01	LA	01	Rep. Scalise	R	1	45	36	15	24	26.7	68.7	2201
MD-01	MD	01	Rep. Harris	R	1	41	40	14	28	33.5	61.9	2401
ME-02	ME	02	Rep. Poliquin	R	1	36	46	12	34	41.1	51.4	2302
MI-08	MI	08	Rep. Bishop	R	1	35	48	11	36	43.9	50.6	2608
MI-11	MI	11	Rep. Trott	R	1	35	48	11	36	45.3	49.7	2611
MI-03	MI	03	Rep. Amash	R	1	36	47	12	35	42.2	51.6	2603
MI-06	MI	06	Rep. Upton	R	1	36	47	12	35	42.9	51.3	2606
MI-02	MI	02	Rep. Huizenga	R	1	38	44	13	32	38.2	55.8	2602
MI-07	MI	07	Rep. Walberg	R	1	38	44	12	32	38.7	55.7	2607
MI-01	MI	01	Rep. Bergman	R	1	39	43	13	31	36.6	57.9	2601
MI-04	MI	04	Rep. Moolenaar	R	1	40	42	13	30	34.7	59.5	2604
MI-10	MI	10	Rep. Mitchell	R	1	42	39	14	27	31.6	63.8	2610
MN-03	MN	03	Rep. Paulsen	R	1	31	53	10	41	50.8	41.4	2703
MN-02	MN	02	Rep. Lewis	R	1	34	50	11	37	45.3	46.5	2702
MN-06	MN	06	Rep. Emmer	R	1	40	41	13	29	33.2	58.9	2706
MO-02	MO	02	Rep. Wagner	R	1	36	46	12	34	42.3	52.6	2902
MO-06	MO	06	Rep. Graves	R	1	42	39	14	27	31.7	63.1	2906
MO-04	MO	04	Rep. Hartzler	R	1	43	38	14	26	29.3	65.3	2904
MO-03	MO	03	Rep. Luetkemeyer	R	1	44	37	15	25	28.1	67.1	2903
MO-07	MO	07	Rep. Long	R	1	46	34	15	23	24.7	70.4	2907
MO-08	MO	08	Rep. Smith	R	1	48	31	16	20	21	75.4	2908
MS-03	MS	03	Rep. Harper	R	1	40	42	13	30	36.8	61.3	2803
