id	population	place	location
2303067	145	Juan 3(sam)-dong	2303067 Juan 3(sam)-dong
2303068	313	Juan 4(sa)-dong	2303068 Juan 4(sa)-dong
2303069	1086	Juan 5(o)-dong	2303069 Juan 5(o)-dong
2303070	302	Juan 6(yuk)-dong	2303070 Juan 6(yuk)-dong
2303071	167	Juan 7(chil)-dong	2303071 Juan 7(chil)-dong
2303072	204	Juan 8(pal)-dong	2303072 Juan 8(pal)-dong
2303073	200	Gwangyo-dong	2303073 Gwangyo-dong
2303074	150	Munhak-dong	2303074 Munhak-dong
2303075	250	Sungui 1早3(il早sam)-dong	2303075 Sungui 1早3(il早sam)-dong
2303076	1226	Yonghyeon 1早4(il早sa)-dong	2303076 Yonghyeon 1早4(il早sa)-dong
2303077	977	Dohwa 2早3(i早sam)-dong	2303077 Dohwa 2早3(i早sam)-dong
23040	7631	Yeonsu-gu	23040 Yeonsu-gu
2304051	440	Ongnyeon 1(il)-dong	2304051 Ongnyeon 1(il)-dong
2304052	1063	Seonhak-dong	2304052 Seonhak-dong
2304053	1650	Yeonsu 1(il)-dong	2304053 Yeonsu 1(il)-dong
2304054	515	Yeonsu 2(i)-dong	2304054 Yeonsu 2(i)-dong
2304055	115	Yeonsu 3(sam)-dong	2304055 Yeonsu 3(sam)-dong
2304056	719	Cheonghak-dong	2304056 Cheonghak-dong
2304057	94	Dongchun 1(il)-dong	2304057 Dongchun 1(il)-dong
2304058	130	Dongchun 2(i)-dong	2304058 Dongchun 2(i)-dong
2304059	45	Dongchun 3(sam)-dong	2304059 Dongchun 3(sam)-dong
2304060	364	Ongnyeon 2(i)-dong	2304060 Ongnyeon 2(i)-dong
2304063	620	Songdo 2(i)dong	2304063 Songdo 2(i)dong
2304064	822	Songdo 1(il)-dong	2304064 Songdo 1(il)-dong
2304065	1054	Songdo 3(sam)dong	2304065 Songdo 3(sam)dong
23050	14508	Namdong-gu	23050 Namdong-gu
2305051	640	Guwol 1(il)-dong	2305051 Guwol 1(il)-dong
2305052	171	Guwol 2(i)-dong	2305052 Guwol 2(i)-dong
2305053	452	Guwol 3(sam)-dong	2305053 Guwol 3(sam)-dong
2305054	299	Guwol 4(sa)-dong	2305054 Guwol 4(sa)-dong
2305055	402	Ganseok 1(il)-dong	2305055 Ganseok 1(il)-dong
2305056	151	Ganseok 2(i)-dong	2305056 Ganseok 2(i)-dong
2305057	720	Ganseok 3(sam)-dong	2305057 Ganseok 3(sam)-dong
2305058	719	Ganseok 4(sa)-dong	2305058 Ganseok 4(sa)-dong
2305059	198	Mansu 1(il)-dong	2305059 Mansu 1(il)-dong
2305060	162	Mansu 2(i)-dong	2305060 Mansu 2(i)-dong
2305061	159	Mansu 3(sam)-dong	2305061 Mansu 3(sam)-dong
2305062	78	Mansu 4(sa)-dong	2305062 Mansu 4(sa)-dong
2305063	224	Mansu 5(o)-dong	2305063 Mansu 5(o)-dong
2305064	151	Mansu 6(yuk)-dong	2305064 Mansu 6(yuk)-dong
2305065	318	Jangsuseochang-dong	2305065 Jangsuseochang-dong
2305067	1473	Namchondorim-dong	2305067 Namchondorim-dong
2305072	585	Nonhyeon-1(il)-dong	2305072 Nonhyeon-1(il)-dong
2305073	2274	Nonhyeon-2(i)-dong	2305073 Nonhyeon-2(i)-dong
2305074	5332	Nonhyeongojan-dong	2305074 Nonhyeongojan-dong
23060	12251	Bupyeong-gu	23060 Bupyeong-gu
2306051	504	Bupyeong 1(il)-dong	2306051 Bupyeong 1(il)-dong
2306052	1014	Bupyeong 2(i)-dong	2306052 Bupyeong 2(i)-dong
2306053	387	Bupyeong 3(sam)-dong	2306053 Bupyeong 3(sam)-dong
2306054	1071	Bupyeong 4(sa)-dong	2306054 Bupyeong 4(sa)-dong
2306055	998	Bupyeong 5(o)-dong	2306055 Bupyeong 5(o)-dong
2306056	1109	Bupyeong 6(yuk)-dong	2306056 Bupyeong 6(yuk)-dong
2306057	219	Sangok 1(il)-dong	2306057 Sangok 1(il)-dong
2306058	117	Sangok 2(i)-dong	2306058 Sangok 2(i)-dong
2306059	202	Sangok 3(sam)-dong	2306059 Sangok 3(sam)-dong
2306060	85	Sangok 4(sa)-dong	2306060 Sangok 4(sa)-dong
2306061	810	Cheongcheon 1(il)-dong	2306061 Cheongcheon 1(il)-dong
2306062	687	Cheongcheon 2(i)-dong	2306062 Cheongcheon 2(i)-dong
2306063	265	Galsan 1(il)-dong	2306063 Galsan 1(il)-dong
2306064	285	Galsan 2(i)-dong	2306064 Galsan 2(i)-dong
2306065	292	Samsan 1(il)-dong	2306065 Samsan 1(il)-dong
2306066	442	Bugae 1(il)-dong	2306066 Bugae 1(il)-dong
2306067	244	Bugae 2(i)-dong	2306067 Bugae 2(i)-dong
2306068	171	Bugae 3(sam)-dong	2306068 Bugae 3(sam)-dong
2306069	201	Ilsin-dong	2306069 Ilsin-dong
2306070	992	Sipjeong 1(il)-dong	2306070 Sipjeong 1(il)-dong
2306071	2044	Sipjeong 2(i)-dong	2306071 Sipjeong 2(i)-dong
2306072	112	Samsan 2(i)-dong	2306072 Samsan 2(i)-dong
23070	3666	Gyeyang-gu	23070 Gyeyang-gu
2307051	244	Hyoseong 1(il)-dong	2307051 Hyoseong 1(il)-dong
2307052	370	Hyoseong 2(i)-dong	2307052 Hyoseong 2(i)-dong
2307053	390	Gyesan 1(il)-dong	2307053 Gyesan 1(il)-dong
2307054	458	Gyesan 2(i)-dong	2307054 Gyesan 2(i)-dong
2307055	143	Gyesan 3(sam)-dong	2307055 Gyesan 3(sam)-dong
2307056	213	Jakjeon 1(il)-dong	2307056 Jakjeon 1(il)-dong
2307057	284	Jakjeon 2(i)-dong	2307057 Jakjeon 2(i)-dong
2307058	387	Jakjeonseoun-dong	2307058 Jakjeonseoun-dong
2307061	433	Gyeyang 2(i)-dong	2307061 Gyeyang 2(i)-dong
2307062	142	Gyesan 4(sa)-dong	2307062 Gyesan 4(sa)-dong
2307063	271	Gyeyang 1(il)-dong	2307063 Gyeyang 1(il)-dong
2307064	331	Gyeyang 3(sam)-dong	2307064 Gyeyang 3(sam)-dong
23080	14776	Seo-gu	23080 Seo-gu
2308051	1869	Geomamgyeongseo-dong	2308051 Geomamgyeongseo-dong
2308053	561	Yeonhui-dong	2308053 Yeonhui-dong
2308054	390	Gajeong 1(il)-dong	2308054 Gajeong 1(il)-dong
2308055	61	Gajeong 2(i)-dong	2308055 Gajeong 2(i)-dong
2308056	104	Gajeong 3(sam)-dong	2308056 Gajeong 3(sam)-dong
2308058	539	Seongnam 1(il)-dong	2308058 Seongnam 1(il)-dong
2308059	1380	Seongnam 2(i)-dong	2308059 Seongnam 2(i)-dong
2308060	237	Seongnam 3(sam)-dong	2308060 Seongnam 3(sam)-dong
2308062	2223	Gajwa 1(il)-dong	2308062 Gajwa 1(il)-dong
2308063	123	Gajwa 2(i)-dong	2308063 Gajwa 2(i)-dong
2308064	420	Gajwa 3(sam)-dong	2308064 Gajwa 3(sam)-dong
2308065	301	Gajwa 4(sa)-dong	2308065 Gajwa 4(sa)-dong
2308069	623	Geomdan-2(i)dong	2308069 Geomdan-2(i)dong
2308070	331	Geomdan-3(sam)dong	2308070 Geomdan-3(sam)dong
2308071	511	Geomdan-4(sa)dong	2308071 Geomdan-4(sa)dong
2308073	829	Sinhyeonwonchang-dong	2308073 Sinhyeonwonchang-dong
2308074	227	Cheongna-1(il)dong	2308074 Cheongna-1(il)dong
2308075	417	Cheongna-2(i)dong	2308075 Cheongna-2(i)dong
2308076	1159	Geomdan-1(il)dong	2308076 Geomdan-1(il)dong
2308077	2471	Geomdan-5(il)dong	2308077 Geomdan-5(il)dong
23310	937	Ganghwa-gun	23310 Ganghwa-gun
2331011	217	Ganghwa-eup	2331011 Ganghwa-eup
2331031	93	Seonwon-myeon	2331031 Seonwon-myeon
2331032	172	Bureun-myeon	2331032 Bureun-myeon
2331033	44	Gilsang-myeon	2331033 Gilsang-myeon
2331034	44	Hwado-myeon	2331034 Hwado-myeon
2331035	32	Yangdo-myeon	2331035 Yangdo-myeon
2331036	68	Naega-myeon	2331036 Naega-myeon
2331037	87	Hajeom-myeon	2331037 Hajeom-myeon
2331038	24	Yangsa-myeon	2331038 Yangsa-myeon
2331039	74	Songhae-myeon	2331039 Songhae-myeon
2331040	14	Gyodong-myeon	2331040 Gyodong-myeon
2331041	62	Samsan-myeon	2331041 Samsan-myeon
2331042	6	Seodo-myeon	2331042 Seodo-myeon
23320	226	Ongjin-gun	23320 Ongjin-gun
2332031	7	Bukdo-myeon	2332031 Bukdo-myeon
2332032	24	Yeonpyeong-myeon	2332032 Yeonpyeong-myeon
2332033	55	Baengnyeong-myeon	2332033 Baengnyeong-myeon
2332034	14	Daecheong-myeon	2332034 Daecheong-myeon
2332035	12	Deokjeok-myeon	2332035 Deokjeok-myeon
2332036	20	Jawol-myeon	2332036 Jawol-myeon
2332037	94	Yeongheung-myeon	2332037 Yeongheung-myeon
24	21592	Gwangju	24 Gwangju
24010	1414	Dong-gu	24010 Dong-gu
2401051	96	Chungjang-dong	2401051 Chungjang-dong
2401054	59	Dongmyeong-dong	2401054 Dongmyeong-dong
2401056	69	Gyerim 1(il)-dong	2401056 Gyerim 1(il)-dong
2401058	45	Gyerim 2(i)-dong	2401058 Gyerim 2(i)-dong
2401059	73	Sansu 1(il)-dong	2401059 Sansu 1(il)-dong
2401061	59	Sansu 2(i)-dong	2401061 Sansu 2(i)-dong
2401062	147	Jisan 1(il)-dong	2401062 Jisan 1(il)-dong
2401063	72	Jisan 2(i)-dong	2401063 Jisan 2(i)-dong
2401064	367	Seonam-dong	2401064 Seonam-dong
2401068	212	Hak-dong	2401068 Hak-dong
2401071	109	Hagun-dong	2401071 Hagun-dong
2401072	48	Jiwon 1(il)-dong	2401072 Jiwon 1(il)-dong
2401073	58	Jiwon 2(i)-dong	2401073 Jiwon 2(i)-dong
24020	2002	Seo-gu	24020 Seo-gu
2402051	37	Yang-dong	2402051 Yang-dong
2402053	32	Yang 3(sam)-dong	2402053 Yang 3(sam)-dong
2402054	71	Nongseong 1(il)-dong	2402054 Nongseong 1(il)-dong
2402055	52	Nongseong 2(i)-dong	2402055 Nongseong 2(i)-dong
2402056	63	Gwangcheon-dong	2402056 Gwangcheon-dong
2402057	84	Yudeok-dong	2402057 Yudeok-dong
2402058	173	Sangmu 1(il)-dong	2402058 Sangmu 1(il)-dong
2402059	235	Sangmu 2(i)-dong	2402059 Sangmu 2(i)-dong
2402060	112	Hwajeong 1(il)-dong	2402060 Hwajeong 1(il)-dong
2402061	56	Hwajeong 2(i)-dong	2402061 Hwajeong 2(i)-dong
2402062	63	Hwajeong 3(sam)-dong	2402062 Hwajeong 3(sam)-dong
2402063	69	Hwajeong 4(sa)-dong	2402063 Hwajeong 4(sa)-dong
2402064	138	Seochang-dong	2402064 Seochang-dong
2402066	256	Chipyeong-dong	2402066 Chipyeong-dong
2402067	230	Pungam-dong	2402067 Pungam-dong
2402068	127	Geumho 1(il)-dong	2402068 Geumho 1(il)-dong
2402069	66	Geumho 2(i)-dong	2402069 Geumho 2(i)-dong
2402070	138	Dongcheon-dong	2402070 Dongcheon-dong
24030	1537	Nam-gu	24030 Nam-gu
2403051	48	Yangnim-dong	2403051 Yangnim-dong
2403052	34	Bangnim 1(il)-dong	2403052 Bangnim 1(il)-dong
2403053	37	Bangnim 2(i)-dong	2403053 Bangnim 2(i)-dong
2403054	44	Sajik-dong	2403054 Sajik-dong
2403057	59	Wolsan-dong	2403057 Wolsan-dong
2403060	118	Wolsan 4(sa)-dong	2403060 Wolsan 4(sa)-dong
2403061	42	Wolsan 5(o)-dong	2403061 Wolsan 5(o)-dong
2403062	47	Baegun 1(il)-dong	2403062 Baegun 1(il)-dong
2403063	52	Baegun 2(i)-dong	2403063 Baegun 2(i)-dong
2403064	136	Juwol 1(il)-dong	2403064 Juwol 1(il)-dong
2403065	39	Juwol 2(i)-dong	2403065 Juwol 2(i)-dong
2403066	551	Hyodeok-dong	2403066 Hyodeok-dong
2403067	87	Songam-dong	2403067 Songam-dong
2403068	95	Bongseon 1(il)-dong	2403068 Bongseon 1(il)-dong
2403069	86	Bongseon 2(i)-dong	2403069 Bongseon 2(i)-dong
2403070	62	Daechon-dong	2403070 Daechon-dong
24040	4880	Buk-gu	24040 Buk-gu
2404051	37	Jungheung 1(il)-dong	2404051 Jungheung 1(il)-dong
2404052	74	Jungheung 2(i)-dong	2404052 Jungheung 2(i)-dong
2404053	39	Jungheung 3(sam)-dong	2404053 Jungheung 3(sam)-dong
2404054	37	Jungang-dong	2404054 Jungang-dong
2404055	89	Im-dong	2404055 Im-dong
2404056	102	Sinan-dong	2404056 Sinan-dong
2404057	1683	Yongbong-dong	2404057 Yongbong-dong
2404058	72	Unam 1(il)-dong	2404058 Unam 1(il)-dong
2404059	136	Unam 2(i)-dong	2404059 Unam 2(i)-dong
2404060	61	Unam 3(sam)-dong	2404060 Unam 3(sam)-dong
2404061	99	Dongnim-dong	2404061 Dongnim-dong
2404062	106	Usan-dong	2404062 Usan-dong
2404063	33	Punghyang-dong	2404063 Punghyang-dong
2404064	81	Munhwa-dong	2404064 Munhwa-dong
2404065	40	Munheung 1(il)-dong	2404065 Munheung 1(il)-dong
2404066	93	Munheung 2(i)-dong	2404066 Munheung 2(i)-dong
2404067	84	Duam 1(il)-dong	2404067 Duam 1(il)-dong
2404068	137	Duam 2(i)-dong	2404068 Duam 2(i)-dong
2404069	67	Duam 3(sam)-dong	2404069 Duam 3(sam)-dong
2404070	64	Samgak-dong	2404070 Samgak-dong
2404071	39	Maegok-dong	2404071 Maegok-dong
2404072	121	Ochi 1(il)-dong	2404072 Ochi 1(il)-dong
2404073	69	Ochi 2(i)-dong	2404073 Ochi 2(i)-dong
2404074	20	Seokgok-dong	2404074 Seokgok-dong
2404078	105	Ilgok-dong	2404078 Ilgok-dong
2404079	906	Geonguk-dong	2404079 Geonguk-dong
2404080	486	yangsan-dong	2404080 yangsan-dong
24050	11759	Gwangsan-gu	24050 Gwangsan-gu
2405051	276	Songjeong 1(il)-dong	2405051 Songjeong 1(il)-dong
2405052	125	Songjeong 2(i)-dong	2405052 Songjeong 2(i)-dong
2405054	171	Dosan-dong	2405054 Dosan-dong
2405055	59	Sinheung-dong	2405055 Sinheung-dong
2405056	1222	Eoryong-dong	2405056 Eoryong-dong
2405058	428	Usan-dong	2405058 Usan-dong
2405059	660	Wolgok 1(il)-dong	2405059 Wolgok 1(il)-dong
2405060	2224	Wolgok 2(i)-dong	2405060 Wolgok 2(i)-dong
2405061	607	Bia-dong	2405061 Bia-dong
2405063	2457	Hanam-dong	2405063 Hanam-dong
2405064	32	Imgok-dong	2405064 Imgok-dong
2405065	133	Donggok-dong	2405065 Donggok-dong
2405066	1575	Pyeong-dong	2405066 Pyeong-dong
2405067	71	Samdo-dong	2405067 Samdo-dong
2405068	17	Bolyang-dong	2405068 Bolyang-dong
2405069	72	Cheomdan 1(il)-dong	2405069 Cheomdan 1(il)-dong
2405070	579	Cheomdan 2(i)-dong	2405070 Cheomdan 2(i)-dong
2405071	209	Unnam-dong	2405071 Unnam-dong
2405073	180	Sinchang-dong	2405073 Sinchang-dong
2405074	230	Singa-dong	2405074 Singa-dong
2405075	432	Suwan-dong	2405075 Suwan-dong
25	19080	Daejeon	25 Daejeon
25010	4094	Dong-gu	25010 Dong-gu
2501053	151	Hyo-dong	2501053 Hyo-dong
2501055	44	Panam 1(il)-dong	2501055 Panam 1(il)-dong
2501056	94	Panam 2(i)-dong	2501056 Panam 2(i)-dong
2501057	414	Yongun-dong	2501057 Yongun-dong
2501060	1896	Jayang-dong	2501060 Jayang-dong
2501063	249	Gayang 1(il)-dong	2501063 Gayang 1(il)-dong
2501064	141	Gayang 2(i)-dong	2501064 Gayang 2(i)-dong
2501065	184	Yongjeon-dong	2501065 Yongjeon-dong
2501068	176	Hongdo-dong	2501068 Hongdo-dong
2501073	9	Daecheong-dong	2501073 Daecheong-dong
2501075	154	Sannae-dong	2501075 Sannae-dong
2501076	115	Jungang-dong	2501076 Jungang-dong
2501077	73	Sinin-dong	2501077 Sinin-dong
2501078	90	Dae-dong	2501078 Dae-dong
2501079	98	Seongnam-dong	2501079 Seongnam-dong
2501080	206	Samseong-dong	2501080 Samseong-dong
25020	1850	Jung-gu	25020 Jung-gu
2502051	222	Eunhaengseonhwa-dong	2502051 Eunhaengseonhwa-dong
2502053	53	Mok-dong	2502053 Mok-dong
2502054	108	Jungchon-dong	2502054 Jungchon-dong
2502055	207	Daeheung-dong	2502055 Daeheung-dong
2502056	60	Munchang-dong	2502056 Munchang-dong
2502057	155	Seokgyo-dong	2502057 Seokgyo-dong
2502058	71	Daesa-dong	2502058 Daesa-dong
2502059	44	Busa-dong	2502059 Busa-dong
2502060	86	Yongdu-dong	2502060 Yongdu-dong
2502062	61	Oryu-dong	2502062 Oryu-dong
2502063	69	Taepyeong 1(il)-dong	2502063 Taepyeong 1(il)-dong
2502064	69	Taepyeong 2(i)-dong	2502064 Taepyeong 2(i)-dong
2502065	108	Yucheon 1(il)-dong	2502065 Yucheon 1(il)-dong
2502066	107	Yucheon 2(i)-dong	2502066 Yucheon 2(i)-dong
2502067	119	Munhwa 1(il)-dong	2502067 Munhwa 1(il)-dong
2502068	87	Munhwa 2(i)-dong	2502068 Munhwa 2(i)-dong
2502069	224	Sanseong-dong	2502069 Sanseong-dong
25030	3847	Seo-gu	25030 Seo-gu
2503051	128	Boksu-dong	2503051 Boksu-dong
2503052	376	Doma 1(il)-dong	2503052 Doma 1(il)-dong
2503053	788	Doma 2(i)-dong	2503053 Doma 2(i)-dong
2503054	92	Jeongnim-dong	2503054 Jeongnim-dong
2503055	111	Byeon-dong	2503055 Byeon-dong
2503056	117	Yongmun-dong	2503056 Yongmun-dong
2503057	161	Tanbang-dong	2503057 Tanbang-dong
2503059	153	Dunsan 1(il)-dong	2503059 Dunsan 1(il)-dong
2503060	160	Dunsan 2(i)-dong	2503060 Dunsan 2(i)-dong
2503061	129	Goejeong-dong	2503061 Goejeong-dong
2503062	65	Gajang-dong	2503062 Gajang-dong
2503063	103	Nae-dong	2503063 Nae-dong
2503064	164	Galma 1(il)-dong	2503064 Galma 1(il)-dong
2503065	141	Galma 2(i)-dong	2503065 Galma 2(i)-dong
2503066	254	Wolpyeong 1(il)-dong	2503066 Wolpyeong 1(il)-dong
2503067	92	Wolpyeong 2(i)-dong	2503067 Wolpyeong 2(i)-dong
2503068	35	Wolpyeong 3(sam)-dong	2503068 Wolpyeong 3(sam)-dong
2503069	198	Mannyeon-dong	2503069 Mannyeon-dong
2503070	265	Gasuwon-dong	2503070 Gasuwon-dong
2503071	34	Giseong-dong	2503071 Giseong-dong
2503072	83	Gwanjeo 1(il)-dong	2503072 Gwanjeo 1(il)-dong
2503073	102	Gwanjeo 2(i)-dong	2503073 Gwanjeo 2(i)-dong
2503074	96	Dunsan 3(sam)-dong	2503074 Dunsan 3(sam)-dong
25040	6595	Yuseong-gu	25040 Yuseong-gu
2504051	185	Jinjam-dong	2504051 Jinjam-dong
2504054	2845	Oncheon 2(i)-dong	2504054 Oncheon 2(i)-dong
2504055	1130	Sinseong-dong	2504055 Sinseong-dong
2504057	370	Jeonmin-dong	2504057 Jeonmin-dong
2504059	170	Noeun 1(il)-dong	2504059 Noeun 1(il)-dong
2504061	274	Gujeuk-dong	2504061 Gujeuk-dong
2504063	456	Gwanpyeong-dong	2504063 Gwanpyeong-dong
2504064	657	Oncheon 1(il)-dong	2504064 Oncheon 1(il)-dong
2504065	214	Wonsinheung-dong	2504065 Wonsinheung-dong
2504066	133	Noeun 2(i)-dong	2504066 Noeun 2(i)-dong
2504067	161	Noeun 3(sam)-dong	2504067 Noeun 3(sam)-dong
25050	2694	Daedeok-gu	25050 Daedeok-gu
2505051	573	Ojeong-dong	2505051 Ojeong-dong
2505052	334	Daehwa-dong	2505052 Daehwa-dong
2505053	225	Hoedeok-dong	2505053 Hoedeok-dong
2505054	91	Birae-dong	2505054 Birae-dong
2505055	240	Jungni-dong	2505055 Jungni-dong
2505056	80	Beop 1(il)-dong	2505056 Beop 1(il)-dong
2505057	70	Beop 2(i)-dong	2505057 Beop 2(i)-dong
2505058	130	Sintanjin-dong	2505058 Sintanjin-dong
2505059	64	Seokbong-dong	2505059 Seokbong-dong
2505060	320	Deogam-dong	2505060 Deogam-dong
2505061	451	Moksang-dong	2505061 Moksang-dong
2505062	116	Songchon-dong	2505062 Songchon-dong
26	29860	Ulsan	26 Ulsan
26004	7141	Total for eups	26004 Total for eups
26005	3597	Total for myeons	26005 Total for myeons
26003	19122	Total for dongs	26003 Total for dongs
26010	2915	Jung-gu	26010 Jung-gu
2601051	408	Hakseong-dong	2601051 Hakseong-dong
2601052	508	Bangu 1(il)-dong	2601052 Bangu 1(il)-dong
2601053	201	Bangu 2(i)-dong	2601053 Bangu 2(i)-dong
2601054	74	Boksan 1(il)-dong	2601054 Boksan 1(il)-dong
2601055	90	Boksan 2(i)-dong	2601055 Boksan 2(i)-dong
2601059	322	Ujeong-dong	2601059 Ujeong-dong
2601060	133	Taehwa-dong	2601060 Taehwa-dong
2601061	138	Daun-dong	2601061 Daun-dong
2601062	279	Byeongyeong 1(il)-dong	2601062 Byeongyeong 1(il)-dong
2601063	221	Byeongyeong 2(i)-dong	2601063 Byeongyeong 2(i)-dong
2601064	30	Yaksa-dong	2601064 Yaksa-dong
2601066	95	Seongan-dong	2601066 Seongan-dong
2601067	416	Jungang-dong	2601067 Jungang-dong
26020	6983	Nam-gu	26020 Nam-gu
2602051	406	Sinjeong 1(il)-dong	2602051 Sinjeong 1(il)-dong
2602052	362	Sinjeong 2(i)-dong	2602052 Sinjeong 2(i)-dong
2602053	341	Sinjeong 3(sam)-dong	2602053 Sinjeong 3(sam)-dong
2602054	273	Sinjeong 4(sa)-dong	2602054 Sinjeong 4(sa)-dong
2602055	150	Sinjeong 5(o)-dong	2602055 Sinjeong 5(o)-dong
2602056	442	Dal-dong	2602056 Dal-dong
2602057	957	Samsan-dong	2602057 Samsan-dong
2602058	247	Samho-dong	2602058 Samho-dong
2602059	1098	Mugeo-dong	2602059 Mugeo-dong
2602060	113	Ok-dong	2602060 Ok-dong
2602061	1726	Yaeumjangsaengpo-dong	2602061 Yaeumjangsaengpo-dong
2602062	428	Daehyeon-dong	2602062 Daehyeon-dong
2602063	55	Suam-dong	2602063 Suam-dong
2602064	385	Seonam-dong	2602064 Seonam-dong
26030	6165	Dong-gu	26030 Dong-gu
2603051	2172	Bangeo-dong	2603051 Bangeo-dong
2603052	306	Ilsan-dong	2603052 Ilsan-dong
2603053	465	Hwajeong-dong	2603053 Hwajeong-dong
2603054	254	Daesong-dong	2603054 Daesong-dong
2603055	569	Jeonha 1(il)-dong	2603055 Jeonha 1(il)-dong
2603058	143	Nammok 1(il)-dong	2603058 Nammok 1(il)-dong
2603059	1311	Nammok 2(i)-dong	2603059 Nammok 2(i)-dong
2603060	350	Nammok 3(sam)-dong	2603060 Nammok 3(sam)-dong
2603061	595	Jeonha 2(i)-dong	2603061 Jeonha 2(i)-dong
26040	3059	Buk-gu	26040 Buk-gu
2604051	575	Nongso 1(il)-dong	2604051 Nongso 1(il)-dong
2604052	626	Nongso 2(i)-dong	2604052 Nongso 2(i)-dong
2604053	369	Nongso 3(sam)-dong	2604053 Nongso 3(sam)-dong
2604054	181	Gangdong-dong	2604054 Gangdong-dong
2604056	731	Hyomun-dong	2604056 Hyomun-dong
2604057	120	Songjeong-dong	2604057 Songjeong-dong
2604058	87	Yangjeong-dong	2604058 Yangjeong-dong
2604059	370	Yeompo-dong	2604059 Yeompo-dong
26310	10738	Ulju-gun	26310 Ulju-gun
2631011	5375	Onsan-eup	2631011 Onsan-eup
2631012	817	Eonyang-eup	2631012 Eonyang-eup
2631013	545	Onyang-eup	2631013 Onyang-eup
2631014	404	Beomseo-eup	2631014 Beomseo-eup
2631031	360	Seosaeng-myeon	2631031 Seosaeng-myeon
2631033	451	Cheongnyang-myeon	2631033 Cheongnyang-myeon
2631034	1304	Ungchon-myeon	2631034 Ungchon-myeon
2631036	48	Dudong-myeon	2631036 Dudong-myeon
2631037	204	Duseo-myeon	2631037 Duseo-myeon
2631038	509	Sangbuk-myeon	2631038 Sangbuk-myeon
2631039	574	Samnam-myeon	2631039 Samnam-myeon
2631040	147	Samdong-myeon	2631040 Samdong-myeon
29	4471	Sejong-si	29 Sejong-si
29004	1134	Total for eups	29004 Total for eups
29005	2519	Total for myeons	29005 Total for myeons
29003	818	Total for dongs	29003 Total for dongs
29010	4471	Sejong-si	29010 Sejong-si
2901011	1134	Jochiwon-eup	2901011 Jochiwon-eup
2901031	170	Yeongi-myeon	2901031 Yeongi-myeon
2901032	205	YeonDong-myeon	2901032 YeonDong-myeon
2901033	296	Bugang-myeon	2901033 Bugang-myeon
2901034	259	Geumnam-myeon	2901034 Geumnam-myeon
2901035	296	janggun-myeon	2901035 janggun-myeon
2901036	306	YeonSeo-myeon	2901036 YeonSeo-myeon
2901037	457	Jeonui-myeon	2901037 Jeonui-myeon
2901038	300	Jeondong-myeon	2901038 Jeondong-myeon
2901039	230	Sojeong-myeon	2901039 Sojeong-myeon
2901051	455	Hansol-dong	2901051 Hansol-dong
2901053	163	Dodam-dong	2901053 Dodam-dong
2901054	200	Arum-dong	2901054 Arum-dong
31	452632	Gyeonggi-do	31 Gyeonggi-do
31004	58197	Total for eups	31004 Total for eups
31005	82416	Total for myeons	31005 Total for myeons
31003	312019	Total for dongs	31003 Total for dongs
31010	42420	Suwon-si	31010 Suwon-si
31011	6885	Jangan-gu	31011 Jangan-gu
3101154	476	Pajang-dong	3101154 Pajang-dong
3101155	1540	Yulcheon-dong	3101155 Yulcheon-dong
3101156	259	Jeongja 1(il)-dong	3101156 Jeongja 1(il)-dong
3101157	438	Jeongja 2(i)-dong	3101157 Jeongja 2(i)-dong
3101158	2149	Yeonghwa-dong	3101158 Yeonghwa-dong
3101159	370	Songjuk-dong	3101159 Songjuk-dong
3101160	385	Jowon 1(il)-dong	3101160 Jowon 1(il)-dong
3101161	976	Yeonmu-dong	3101161 Yeonmu-dong
3101162	226	Jeongja 3(sam)-dong	3101162 Jeongja 3(sam)-dong
3101163	66	Jowon 2(i)-dong	3101163 Jowon 2(i)-dong
31012	10558	Gwonseon-gu	31012 Gwonseon-gu
3101252	1642	Seryu 1(il)-dong	3101252 Seryu 1(il)-dong
3101253	2632	Seryu 2(i)-dong	3101253 Seryu 2(i)-dong
3101254	1565	Seryu 3(sam)-dong	3101254 Seryu 3(sam)-dong
3101255	1102	Pyeong-dong	3101255 Pyeong-dong
3101256	927	Seodun-dong	3101256 Seodun-dong
3101257	615	Guun-dong	3101257 Guun-dong
3101260	648	Gwonseon 1(il)-dong	3101260 Gwonseon 1(il)-dong
3101261	569	Gokseon-dong	3101261 Gokseon-dong
3101262	93	Ipbuk-dong	3101262 Ipbuk-dong
3101263	544	Geumho-dong	3101263 Geumho-dong
3101264	221	Gwonseon 2(i)-dong	3101264 Gwonseon 2(i)-dong
31013	17134	Paldal-gu	31013 Paldal-gu
3101353	2089	Ji-dong	3101353 Ji-dong
3101354	725	Uman 1(il)-dong	3101354 Uman 1(il)-dong
3101355	262	Uman 2(i)-dong	3101355 Uman 2(i)-dong
3101356	2578	Ingye-dong	3101356 Ingye-dong
3101367	1520	Maegyo-dong	3101367 Maegyo-dong
3101368	2831	Maesan-dong	3101368 Maesan-dong
3101369	3675	Godeung-dong	3101369 Godeung-dong
3101370	1860	Hwaseo 1(il)-dong	3101370 Hwaseo 1(il)-dong
3101371	199	Hwaseo 2(i)-dong	3101371 Hwaseo 2(i)-dong
3101372	1395	Haenggung-dong	3101372 Haenggung-dong
